GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,3058497,3063318,3057018,3044993,3034231,3019634,3003329,2981755,2958266,2936355,2918674,2907361,2903008,2897770,2892394,2885796,2875592,2876591,2870324
AL0,0,0,3057018,3044993,3034231,3019634,3003329,2981755,2958266,2936355,2918674,2907361,2903008,2897770,2892394,2885796,2875592,2876591,2870324
AL01,0,0,0,0,0,0,0,0,0,0,0,0,861058,853084,844921,836448,830981,826904,819793
AL011,0,0,0,0,0,0,0,0,0,0,0,0,140956,137722,134332,131054,129056,125579,120978
AL012,0,0,0,0,0,0,0,0,0,0,0,0,271947,274029,276058,277989,280205,284823,289626
AL013,0,0,0,0,0,0,0,0,0,0,0,0,87762,86082,84306,82428,81294,79559,77395
AL014,0,0,0,0,0,0,0,0,0,0,0,0,137782,135703,133748,131829,130258,129019,126800
AL015,0,0,0,0,0,0,0,0,0,0,0,0,222611,219548,216477,213148,210168,207924,204994
AL02,0,0,0,0,0,0,0,0,0,0,0,0,1083768,1097258,1111160,1124817,1130587,1146183,1162544
AL021,0,0,0,0,0,0,0,0,0,0,0,0,302863,298995,294938,290666,287606,283822,278548
AL022,0,0,0,0,0,0,0,0,0,0,0,0,780905,798263,816222,834151,842981,862361,883996
AL03,0,0,0,0,0,0,0,0,0,0,0,0,958182,947428,936313,924531,914024,903504,887987
AL031,0,0,0,0,0,0,0,0,0,0,0,0,146736,143856,141114,138365,135441,131942,127432
AL032,0,0,0,0,0,0,0,0,0,0,0,0,320789,316599,312248,308014,305108,302507,298144
AL033,0,0,0,0,0,0,0,0,0,0,0,0,76054,73753,71567,69557,68020,65939,62951
AL034,0,0,0,0,0,0,0,0,0,0,0,0,228118,225634,223029,220196,217422,214321,210179
AL035,0,0,0,0,0,0,0,0,0,0,0,0,186485,187586,188355,188399,188033,188795,189281
AT,8002186,8020946,8063640,8100273,8142573,8201359,8254298,8282984,8307989,8335003,8351643,8375164,8408121,8451860,8507786,8584926,8700471,8772865,8822267
AT1,3359846,3369328,3392463,3418657,3444493,3479550,3512077,3529875,3547701,3565870,3579589,3596910,3617321,3646529,3679647,3722471,3784928,3825277,3852119
AT11,276226,275956,276673,276542,276792,278032,279127,280062,280977,282777,283697,284581,285782,286691,287416,288356,291011,291942,292675
AT111,0,37732,37778,37703,37640,37522,37413,37481,37438,37472,37526,37505,37561,37565,37534,37622,37692,37752,37661
AT112,0,140421,141050,141361,141963,143094,144205,145118,146279,147634,148576,149522,150500,151596,152539,153637,155809,156735,157840
AT113,0,97803,97845,97478,97189,97416,97509,97463,97260,97671,97595,97554,97721,97530,97343,97097,97510,97455,97174
AT12,1535083,1539416,1544667,1549269,1557291,1568949,1580501,1588567,1595503,1602958,1605897,1609474,1614455,1618592,1625485,1636778,1653691,1665753,1670668
AT121,0,237415,237739,237500,237979,239038,240185,240622,240906,241450,241155,240997,240979,241246,241727,242689,244431,245671,246050
AT122,0,245171,246169,246770,248064,249588,250946,251528,251663,252245,252390,252671,253092,253224,254011,255720,258132,259655,259630
AT123,0,141751,142342,142873,143880,145251,146327,146933,147367,147776,148000,148244,148511,148861,149510,150657,152576,154045,154885
AT124,0,224073,223385,222866,222360,222146,222076,221515,221077,220787,220051,219464,219354,218676,218249,218129,219219,219513,218161
AT125,0,123251,123320,123265,123163,123368,123617,123691,123781,123915,123744,123520,123374,123111,123141,123544,124281,124939,124893
AT126,0,275861,277948,279984,283012,286609,290673,294379,298120,301675,303609,306061,308200,310090,312952,316251,320370,323987,327072
AT127,0,291894,293764,296011,298833,302949,306677,309899,312589,315110,316948,318517,320945,323384,325895,329788,334682,337943,339977
AT13,1548537,1553956,1571123,1592846,1610410,1632569,1652449,1661246,1671221,1680135,1689995,1702855,1717084,1741246,1766746,1797337,1840226,1867582,1888776
AT130,1548537,1553956,1571123,1592846,1610410,1632569,1652449,1661246,1671221,1680135,1689995,1702855,1717084,1741246,1766746,1797337,1840226,1867582,1888776
AT2,1743626,1742012,1748050,1747938,1750194,1755706,1760131,1761876,1763416,1764257,1763043,1763329,1764723,1766444,1771127,1779211,1792494,1798375,1801112
AT21,560696,559571,559933,558623,558026,558926,559277,559393,559715,559462,557998,556718,556027,555473,555881,557641,560482,561077,560898
AT211,0,268789,269612,269590,269828,271119,272384,273328,274537,275475,275707,276005,276915,277846,279347,281395,283941,285523,286579
AT212,0,131618,131654,131153,130918,130848,130287,129931,129632,129117,128387,127649,126936,126187,125600,125338,125474,124975,124389
AT213,0,159164,158667,157880,157280,156959,156606,156134,155546,154870,153904,153064,152176,151440,150934,150908,151067,150579,149930
AT22,1182930,1182441,1188117,1189315,1192168,1196780,1200854,1202483,1203701,1204795,1205045,1206611,1208696,1210971,1215246,1221570,1232012,1237298,1240214
AT221,0,356285,364679,368327,372013,377444,382377,386423,390138,393586,396995,401229,405473,410094,415657,421304,429088,434969,439236
AT222,0,82124,81873,81387,81186,81166,81042,80957,80541,80379,79969,79620,79297,79040,78893,79574,79860,80011,80082
AT223,0,176447,174997,173680,172903,171971,171415,170113,168976,167991,166634,165505,164468,163272,162626,161767,161907,160777,159888
AT224,0,267833,267753,267845,268057,268251,268382,268212,268060,267583,267150,266831,266662,266394,266450,264950,265794,266343,266518
AT225,0,190176,190038,190046,190395,190722,190872,190658,190560,190506,190325,190155,190020,189889,189839,192555,193823,194192,194100
AT226,0,109576,108777,108030,107614,107226,106766,106120,105426,104750,103972,103271,102776,102282,101781,101420,101540,101006,100390
AT3,2898714,2909606,2923127,2933678,2947886,2966103,2982090,2991233,2996872,3004876,3009011,3014925,3026077,3038887,3057012,3083244,3123049,3149213,3169036
AT31,1370035,1373134,1377802,1382532,1387488,1394726,1400287,1403663,1405762,1408619,1409253,1410222,1413866,1418498,1425422,1437251,1453948,1465045,1473576
AT311,0,271287,272316,272695,273030,273848,274272,274406,274784,275370,275043,275045,275410,276102,276781,278909,281728,284192,286047
AT312,0,523150,524856,528745,532296,536527,540016,542746,544613,546609,548003,549314,552172,555811,560587,567637,575644,581728,587029
AT313,0,201193,202144,202397,202588,203425,203743,203964,204092,204230,204071,203954,204184,204242,204708,205212,207282,208083,208483
AT314,0,151907,152423,152312,152591,153023,153296,153329,153019,152964,152817,152607,152314,152147,152309,152997,154263,154978,155445
AT315,0,225597,226063,226383,226983,227903,228960,229218,229254,229446,229319,229302,229786,230196,231037,232496,235031,236064,236572
AT32,512854,514851,517050,517084,519691,522369,524920,526048,525944,526699,526730,527886,529704,531898,534270,538575,545815,549263,552579
AT321,0,21366,21313,21177,21156,21179,21078,21056,21017,20889,20919,20827,20751,20668,20450,20458,20547,20426,20344
AT322,0,161842,161909,161948,162433,162841,163271,162962,162787,162471,162245,162391,162816,163125,163578,164390,166024,166795,167438
AT323,0,331643,333828,333959,336102,338349,340571,342030,342140,343339,343566,344668,346137,348105,350242,353727,359244,362042,364797
AT33,667459,671492,675701,679457,683639,688954,694253,697253,699588,702502,704662,707517,711581,715888,722038,728826,739139,746153,751140
AT331,0,31492,31578,31719,31717,31795,31766,31778,31837,31761,31676,31607,31654,31647,31672,31691,32036,32399,32532
AT332,0,266680,268356,269409,271231,273919,276604,278503,279509,281024,282833,284514,286877,290412,294259,299006,305226,308290,310297
AT333,0,50403,50365,50202,50199,50326,50430,50468,50209,49881,49662,49453,49329,49071,48990,48896,49026,48879,48833
AT334,0,95841,96802,97750,98720,99017,99863,99644,100384,100762,100795,101091,101428,101074,101177,101547,102419,103190,103949
AT335,0,227076,228600,230377,231772,233897,235590,236860,237649,239074,239696,240852,242293,243684,245940,247686,250432,253395,255529
AT34,348366,350129,352574,354605,357068,360054,362630,364269,365578,367056,368366,369300,370926,372603,375282,378592,384147,388752,391741
AT341,0,86510,87154,87370,87830,88406,88763,88728,88331,88332,88239,87874,87863,87792,87974,88571,89934,90847,91399
AT342,0,263619,265420,267235,269238,271648,273867,275541,277247,278724,280127,281426,283063,284811,287308,290021,294213,297905,300342
BE,10239085,10263414,10309725,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589
BE1,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE10,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE100,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
