GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DEA,17999800.0,18009865.0,18052092.0,18076355.0,18079686.0,18075352.0,18058105.0,18028745.0,17996621.0,17933064.0,17872763.0,17545192.0,17544938.0,17554329.0,17571856.0,17638098.0,17865516.0,17890100.0,17912134.0
DEB,4030773.0,4034557.0,4049066.0,4057727.0,4058682.0,4061105.0,4058843.0,4052860.0,4045643.0,4028351.0,4012675.0,3994185.0,3990033.0,3990278.0,3994366.0,4011582.0,4052803.0,4066053.0,4073679.0
DEC,1071501.0,1068703.0,1066470.0,1064988.0,1061376.0,1056417.0,1050293.0,1043167.0,1036598.0,1030324.0,1022585.0,1001879.0,997855.0,994287.0,990718.0,989035.0,995597.0,996651.0,994187.0
DED,4459686.0,4425581.0,4384192.0,4349059.0,4321437.0,4296284.0,4273754.0,4249774.0,4220200.0,4192801.0,4168732.0,4066256.0,4054182.0,4050204.0,4046385.0,4055274.0,4084851.0,4081783.0,4081308.0
DEE,2648737.0,2615375.0,2580626.0,2548911.0,2522941.0,2494437.0,2469716.0,2441787.0,2412472.0,2381872.0,2356219.0,2297386.0,2276736.0,2259393.0,2244577.0,2235548.0,2245470.0,2236252.0,2223081.0
DEF,2777275.0,2789761.0,2804249.0,2816507.0,2823171.0,2828760.0,2832950.0,2834254.0,2837373.0,2834260.0,2832027.0,2800134.0,2802266.0,2806531.0,2815955.0,2830864.0,2858714.0,2881926.0,2889821.0
DEG,2449082.0,2431255.0,2411387.0,2392040.0,2373157.0,2355280.0,2334575.0,2311140.0,2289219.0,2267763.0,2249882.0,2195344.0,2181603.0,2170460.0,2160840.0,2156759.0,2170714.0,2158128.0,2151205.0
FRA,,,,,,,,,,,,,,,,2144238.0,2171981.0,2187987.0,
FRB,2450121.0,2461778.0,2472978.0,2484288.0,2494279.0,2507246.0,2519567.0,2526919.0,2531588.0,2538590.0,2548065.0,2556835.0,2563586.0,2570548.0,2577435.0,2578592.0,2577866.0,2575917.0,2571632.0
FRC,2734330.0,2742346.0,2749892.0,2756739.0,2762934.0,2771934.0,2779461.0,2792562.0,2802519.0,2810648.0,2813878.0,2816174.0,2816814.0,2819783.0,2820623.0,2820940.0,2818338.0,2812605.0,2804285.0
FRD,3211503.0,3221806.0,3231900.0,3240840.0,3249220.0,3259102.0,3267848.0,3278145.0,3293092.0,3303822.0,3310448.0,3315077.0,3322756.0,3328364.0,3335645.0,3339131.0,3335929.0,3332619.0,3326567.0
FRE,5860802.0,5869901.0,5879893.0,5887707.0,5893957.0,5904641.0,5912999.0,5922030.0,5931091.0,5944354.0,5953001.0,5960170.0,5973098.0,5987883.0,6006156.0,6009976.0,6006870.0,6001546.0,5992082.0
FRF,5400871.0,5416747.0,5432715.0,5446445.0,5458878.0,5475270.0,5490092.0,5506616.0,5521452.0,5531118.0,5532530.0,5539035.0,5548955.0,5552388.0,5554645.0,5559051.0,5555186.0,5546580.0,5533558.0
FRG,3248994.0,3281679.0,3314649.0,3347675.0,3379784.0,3415391.0,3450413.0,3482594.0,3510170.0,3539048.0,3571495.0,3601113.0,3632614.0,3660852.0,3690833.0,3718512.0,3737632.0,3756053.0,3771669.0
FRH,2927612.0,2954324.0,2981765.0,3009249.0,3037077.0,3066585.0,3094534.0,3120288.0,3149701.0,3175064.0,3199066.0,3217767.0,3237097.0,3258707.0,3276543.0,3293850.0,3306529.0,3315901.0,3323355.0
FRI,5296850.0,5340843.0,5386308.0,5431745.0,5476513.0,5526990.0,5574821.0,5627671.0,5671076.0,5708497.0,5745486.0,5773078.0,5808594.0,5844177.0,5879144.0,5911482.0,5935603.0,5957112.0,5973107.0
FRJ,4900326.0,4962851.0,5030703.0,5099077.0,5167552.0,5240791.0,5310966.0,5371117.0,5419946.0,5473597.0,5518106.0,5573466.0,5626858.0,5683878.0,5730753.0,5774185.0,5808435.0,5840292.0,5867640.0
FRK,7000751.0,7057821.0,7115944.0,7173919.0,7231833.0,7295515.0,7357284.0,7405206.0,7459092.0,7518004.0,7578078.0,7634223.0,7695264.0,7757595.0,7820966.0,7877698.0,7916889.0,7957342.0,7992341.0
FRL,4541508.0,4584379.0,4629496.0,4675056.0,4719132.0,4768564.0,4815232.0,4864015.0,4882913.0,4889053.0,4899155.0,4916069.0,4935576.0,4953675.0,4983438.0,5007977.0,5021928.0,5036446.0,5048454.0
FRM,264539.0,269273.0,274093.0,279027.0,283972.0,289092.0,294118.0,299209.0,302966.0,305674.0,309693.0,314486.0,316257.0,320208.0,324212.0,327283.0,330455.0,333542.0,336469.0
FRY,,,,,,,,,,,,,,,2138022.0,2157332.0,2169599.0,2185705.0,2201114.0
ITC,14902879.0,14921776.0,14934254.0,14979197.0,15102227.0,15246856.0,15318858.0,15376639.0,15500793.0,15605507.0,15666121.0,15729074.0,15752503.0,15861548.0,16130725.0,16138643.0,16110977.0,16103882.0,16095306.0
ITF,13966461.0,13935085.0,13906672.0,13898803.0,13932382.0,13957811.0,13944785.0,13926039.0,13965480.0,13971529.0,13977172.0,13983347.0,13970037.0,13980833.0,14167819.0,14149806.0,14110771.0,14071161.0,14022596.0
ITG,6633000.0,6612863.0,6596612.0,6589808.0,6597053.0,6601313.0,6603181.0,6603629.0,6621292.0,6633171.0,6638776.0,6647338.0,6637700.0,6640311.0,6758796.0,6755366.0,6732399.0,6709776.0,6675165.0
ITH,,10608795.0,10654684.0,10728677.0,10843188.0,10954553.0,11028130.0,11097006.0,11219364.0,11335590.0,11387297.0,11428451.0,11442262.0,11521037.0,11654486.0,11661160.0,11643601.0,11637102.0,11640852.0
ITI,,10882173.0,10895285.0,10934021.0,11021050.0,11114220.0,11169260.0,11220431.0,11345946.0,11454789.0,11520777.0,11576480.0,11591705.0,11681498.0,12070842.0,12090637.0,12067803.0,12067524.0,12050054.0
TRA,,,,,,,,,2212759.0,2201862.0,2198061.0,2202106.0,2230394.0,2226155.0,2207602.0,2206326.0,2195359.0,2201368.0,2188214.0
TRB,,,,,,,,,3558432.0,3618056.0,3638401.0,3647531.0,3709838.0,3756322.0,3774582.0,3801911.0,3824817.0,3827576.0,3854869.0
TRC,,,,,,,,,7170849.0,7350752.0,7462893.0,7592772.0,7816173.0,7958473.0,8096352.0,8250718.0,8385540.0,8508887.0,8665165.0
UKC,2546868.0,2541756.0,2540317.0,2540504.0,2540442.0,2543746.0,2549800.0,2557242.0,2565644.0,2572348.0,2581096.0,2591626.0,2599436.0,2606603.0,2614782.0,2621766.0,2630654.0,2640686.0,2648215.0
UKD,6773669.0,6773604.0,6779061.0,6799855.0,6827646.0,6855292.0,6885901.0,6915555.0,6944041.0,6972458.0,7003144.0,7038003.0,7070201.0,7093959.0,7118192.0,7153981.0,7199476.0,7241212.0,7272136.0
UKE,4957467.0,4967626.0,4988442.0,5013295.0,5044818.0,5085823.0,5121277.0,5149113.0,5181446.0,5211063.0,5239130.0,5271538.0,5302562.0,5327399.0,5349043.0,5375167.0,5407699.0,5437756.0,5462595.0
UKF,4160260.0,4178849.0,4205676.0,4238370.0,4273230.0,4310294.0,4347877.0,4385722.0,4422902.0,4456375.0,4489370.0,4522260.0,4552652.0,4583149.0,4617902.0,4657381.0,4701311.0,4748491.0,4781284.0
UKG,5270792.0,5275176.0,5290941.0,5313303.0,5335902.0,5363510.0,5398060.0,5433639.0,5474043.0,5512061.0,5546881.0,5587184.0,5625705.0,5658977.0,5694326.0,5734320.0,5782942.0,5835748.0,5873091.0
UKH,5356847.0,5387718.0,5416651.0,5453490.0,5491472.0,5535748.0,5584574.0,5629997.0,5681075.0,5730000.0,5779529.0,5835002.0,5884137.0,5928877.0,5984503.0,6046485.0,6102398.0,6148608.0,6197813.0
UKI,7195312.0,7279558.0,7350091.0,7386268.0,7414336.0,7476424.0,7558958.0,7646200.0,7753358.0,7877924.0,8002621.0,8133525.0,8256568.0,8363095.0,8478369.0,8603110.0,8718245.0,8797265.0,8899823.0
UKJ,7972861.0,8007024.0,8034561.0,8066827.0,8110839.0,8168243.0,8237107.0,8311342.0,8389142.0,8458920.0,8534609.0,8615530.0,8688804.0,8758925.0,8833374.0,8911571.0,8989881.0,9055647.0,9120911.0
UKK,4899016.0,4930219.0,4959781.0,4991402.0,5022479.0,5062212.0,5103024.0,5145224.0,5187813.0,5215946.0,5244033.0,5281091.0,5320318.0,5358575.0,5400450.0,5447407.0,5494303.0,5538113.0,5578303.0
UKL,2903734.0,2908551.0,2916333.0,2930091.0,2947316.0,2963141.0,2977257.0,2995800.0,3015844.0,3032140.0,3044206.0,3056650.0,3068915.0,3078358.0,3087359.0,3095703.0,3106222.0,3119255.0,3126522.0
UKM,5067418.0,5063564.0,5064592.0,5066792.0,5075851.0,5096767.0,5121130.0,5151079.0,5185976.0,5216921.0,5246559.0,5280584.0,5306795.0,5320664.0,5337613.0,5360273.0,5388865.0,5414723.0,5436926.0
UKN,1681179.0,1686348.0,1693118.0,1701197.0,1709428.0,1720850.0,1735396.0,1752366.0,1770363.0,1786187.0,1799019.0,1809539.0,1818995.0,1826761.0,1835290.0,1846229.0,1857048.0,1866638.0,1875957.0
