GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL01,,,,,,,,,,,,,861058.0,853084.0,844921.0,836448.0,830981.0,826904.0,819793.0
AL02,,,,,,,,,,,,,1083768.0,1097258.0,1111160.0,1124817.0,1130587.0,1146183.0,1162544.0
AL03,,,,,,,,,,,,,958182.0,947428.0,936313.0,924531.0,914024.0,903504.0,887987.0
AT11,276226.0,275956.0,276673.0,276542.0,276792.0,278032.0,279127.0,280062.0,280977.0,282777.0,283697.0,284581.0,285782.0,286691.0,287416.0,288356.0,291011.0,291942.0,292675.0
AT12,1535083.0,1539416.0,1544667.0,1549269.0,1557291.0,1568949.0,1580501.0,1588567.0,1595503.0,1602958.0,1605897.0,1609474.0,1614455.0,1618592.0,1625485.0,1636778.0,1653691.0,1665753.0,1670668.0
AT13,1548537.0,1553956.0,1571123.0,1592846.0,1610410.0,1632569.0,1652449.0,1661246.0,1671221.0,1680135.0,1689995.0,1702855.0,1717084.0,1741246.0,1766746.0,1797337.0,1840226.0,1867582.0,1888776.0
AT21,560696.0,559571.0,559933.0,558623.0,558026.0,558926.0,559277.0,559393.0,559715.0,559462.0,557998.0,556718.0,556027.0,555473.0,555881.0,557641.0,560482.0,561077.0,560898.0
AT22,1182930.0,1182441.0,1188117.0,1189315.0,1192168.0,1196780.0,1200854.0,1202483.0,1203701.0,1204795.0,1205045.0,1206611.0,1208696.0,1210971.0,1215246.0,1221570.0,1232012.0,1237298.0,1240214.0
AT31,1370035.0,1373134.0,1377802.0,1382532.0,1387488.0,1394726.0,1400287.0,1403663.0,1405762.0,1408619.0,1409253.0,1410222.0,1413866.0,1418498.0,1425422.0,1437251.0,1453948.0,1465045.0,1473576.0
AT32,512854.0,514851.0,517050.0,517084.0,519691.0,522369.0,524920.0,526048.0,525944.0,526699.0,526730.0,527886.0,529704.0,531898.0,534270.0,538575.0,545815.0,549263.0,552579.0
AT33,667459.0,671492.0,675701.0,679457.0,683639.0,688954.0,694253.0,697253.0,699588.0,702502.0,704662.0,707517.0,711581.0,715888.0,722038.0,728826.0,739139.0,746153.0,751140.0
AT34,348366.0,350129.0,352574.0,354605.0,357068.0,360054.0,362630.0,364269.0,365578.0,367056.0,368366.0,369300.0,370926.0,372603.0,375282.0,378592.0,384147.0,388752.0,391741.0
BE10,959318.0,964405.0,978384.0,992041.0,999899.0,1006749.0,1018804.0,1031215.0,1048491.0,1068532.0,1089538.0,1136778.0,1151317.0,1165208.0,1172751.0,1184101.0,1201285.0,1199095.0,1205492.0
