,GEO,Value
0,BE100,7319.4
1,BE211,1073.7
2,BE212,672.1
3,BE213,335.0
4,BE221,471.8
5,BE222,273.6
6,BE223,320.8
7,BE231,603.8
8,BE232,589.9
9,BE233,251.7
10,BE234,581.5
11,BE235,292.3
12,BE236,533.9
13,BE241,654.4
14,BE242,427.0
15,BE251,432.5
16,BE252,140.8
17,BE253,194.0
18,BE254,710.3
19,BE255,531.3
20,BE256,547.1
21,BE257,278.6
22,BE258,222.5
23,BE310,360.2
24,BE321,177.0
25,BE322,775.9
26,BE323,443.9
27,BE324,742.1
28,BE325,364.1
29,BE326,163.0
30,BE327,242.0
31,BE331,170.4
32,BE332,789.0
33,BE334,201.8
34,BE335,180.3
35,BE336,90.1
36,BE341,190.9
37,BE342,45.0
38,BE343,59.0
39,BE344,45.9
40,BE345,69.1
41,BE351,68.9
42,BE352,268.4
43,BE353,73.7
44,BG311,31.9
45,BG312,39.7
46,BG313,49.8
47,BG314,57.2
48,BG315,32.9
49,BG321,54.6
50,BG322,58.6
51,BG323,83.9
52,BG324,45.7
53,BG325,41.3
54,BG331,126.6
55,BG332,39.0
56,BG333,53.1
57,BG334,46.4
58,BG341,54.8
59,BG342,55.6
60,BG343,38.4
61,BG344,65.0
62,BG411,1005.4
63,BG412,34.2
64,BG413,49.5
65,BG414,54.1
66,BG415,42.7
67,BG421,116.6
68,BG422,44.1
69,BG423,61.7
70,BG424,36.3
71,BG425,48.2
72,CZ010,2577.6
73,CZ020,121.1
74,CZ031,66.2
75,CZ032,77.2
76,CZ041,92.4
77,CZ042,157.6
78,CZ051,140.8
79,CZ052,117.8
80,CZ053,115.9
81,CZ063,76.4
82,CZ064,166.4
83,CZ071,122.1
84,CZ072,149.7
85,CZ080,229.6
86,DK011,4101.2
87,DK012,1558.4
88,DK013,311.6
89,DK014,68.2
90,DK021,297.6
91,DK022,90.1
92,DK031,140.2
93,DK032,81.6
94,DK041,59.4
95,DK042,146.3
96,DK050,73.8
97,DE111,2953.2
98,DE112,602.5
99,DE113,802.7
100,DE114,388.6
101,DE115,765.0
102,DE116,480.8
103,DE117,1189.8
104,DE118,298.4
105,DE119,139.4
106,DE11A,126.9
107,DE11B,99.8
108,DE11C,204.8
109,DE11D,203.7
110,DE121,382.6
111,DE122,1772.6
112,DE123,403.2
113,DE124,309.8
114,DE125,1433.8
115,DE126,2130.5
116,DE127,126.1
117,DE128,505.6
118,DE129,1209.4
119,DE12A,190.9
120,DE12B,336.7
121,DE12C,132.3
122,DE131,1446.0
123,DE132,184.1
124,DE133,234.8
125,DE134,224.7
126,DE135,176.4
127,DE136,200.8
128,DE137,182.4
129,DE138,356.6
130,DE139,277.8
131,DE13A,146.6
132,DE141,253.7
133,DE142,419.8
134,DE143,202.1
135,DE144,1008.1
136,DE145,139.0
137,DE146,134.8
138,DE147,467.3
139,DE148,168.6
140,DE149,106.2
141,DE211,1000.5
142,DE212,4576.5
143,DE213,1639.9
144,DE214,190.4
145,DE215,123.4
146,DE216,113.1
147,DE217,251.5
148,DE218,244.9
149,DE219,104.5
150,DE21A,150.6
151,DE21B,212.9
152,DE21C,481.1
153,DE21D,85.7
154,DE21E,154.2
155,DE21F,112.9
156,DE21G,137.0
157,DE21H,503.6
158,DE21I,127.2
159,DE21J,160.2
160,DE21K,177.1
161,DE21L,309.0
162,DE21M,118.3
163,DE21N,136.8
164,DE221,1012.8
165,DE222,764.7
166,DE223,704.1
167,DE224,135.9
168,DE225,79.0
169,DE226,109.4
170,DE227,112.5
171,DE228,122.7
172,DE229,78.4
173,DE22A,92.5
174,DE22B,82.2
175,DE22C,106.7
176,DE231,831.3
177,DE232,1788.4
178,DE233,588.3
179,DE234,82.1
180,DE235,82.9
181,DE236,95.5
182,DE237,67.0
183,DE238,135.2
184,DE239,99.1
185,DE23A,67.9
186,DE241,1301.1
187,DE242,1068.5
188,DE243,854.8
189,DE244,779.4
190,DE245,124.5
191,DE246,82.1
192,DE247,147.0
193,DE248,177.0
194,DE249,108.7
195,DE24A,104.8
196,DE24B,110.5
197,DE24C,128.8
198,DE24D,121.4
199,DE251,399.2
200,DE252,1395.0
201,DE253,1915.3
202,DE254,2702.6
203,DE255,969.4
204,DE256,90.9
205,DE257,237.3
206,DE258,371.9
207,DE259,207.1
208,DE25A,77.1
209,DE25B,138.8
210,DE25C,96.7
211,DE261,1114.8
212,DE262,1478.0
213,DE263,1430.6
214,DE264,248.6
215,DE265,90.5
216,DE266,78.1
217,DE267,88.5
218,DE268,129.7
219,DE269,180.7
220,DE26A,96.0
221,DE26B,135.3
222,DE26C,164.3
223,DE271,1896.8
224,DE272,1047.2
225,DE273,1037.0
226,DE274,599.8
227,DE275,165.6
228,DE276,226.0
229,DE277,119.6
230,DE278,160.2
231,DE279,326.7
232,DE27A,278.7
233,DE27B,98.7
234,DE27C,112.5
235,DE27D,102.4
236,DE27E,99.2
237,DE300,4073.1
238,DE401,362.4
239,DE402,603.3
240,DE403,401.6
241,DE404,951.8
242,DE405,121.6
243,DE406,73.1
244,DE407,56.1
245,DE408,90.6
246,DE409,88.4
